slug,provider,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred
ascoin-wallet,!provider:ascoin-wallet,,,,,,,,,,,,,,,,,,
backpack,!provider:backpack,,,,,,,,,,,,,,,,,,
c98wallet,!provider:c98wallet,,,,,,,,,,,,,,,,,,
cwallet,!provider:cwallet,,,,,,,,,,,,,,,,,,
exodus,!provider:exodus,,,,,,,,,,,,,,,,,,
frontier,!provider:frontier,,,,,,,,,,,,,,,,,,
gem-wallet,!provider:gem-wallet,,,,,,,,,,,,,,,,,,
guarda,!provider:guarda,,,,,,,,,,,,,,,,,,
kuma-wallet,!provider:kuma-wallet,,,,,,,,,,,,,,,,,,
martian-wallet,!provider:martian-wallet,,,,,,,,,,,,,,,,,,
math-wallet,!provider:math-wallet,,,,,,,,,,,,,,,,,,
okxwallet,!provider:okxwallet,,,,,,,,,,,,,,,,,,
onekey,!provider:onekey,,,,,,,,,,,,,,,,,,
tokenpocket,!provider:tokenpocket,,,,,,,,,,,,,,,,,,
trustwallet,!provider:trustwallet,,,,,,,,,,,,,,,,,,
